x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,y
0.771320643266746,0.0207519493594015,0.6336482349262754,0.7488038825386119,0.4985070123025904,0.22479664553084766,0.19806286475962398,0.7605307121989587,0.16911083656253545,0.08833981417401027,0.6853598183677972,0.9533933461949365,0.003948266327914451,0.5121922633857766,0.8126209616521135,0.6125260668293881,0.7217553174317995,0.29187606817063316,0.9177741225129434,0.7145757833976906,0.5425443680112613,0.14217004760152696,0.3733407600514692,0.6741336150663453,0.4418331744229961,0.4340139933332937,0.6177669784693172,0.5131382425543909,0.6503971819314672,0.6010389534045444,-2.2257982924674655
0.8052231968327465,0.5216471523936341,0.9086488808086682,0.3192360889885453,0.09045934927090737,0.30070005663620336,0.11398436186354977,0.8286813263076767,0.04689631938924976,0.6262871483113925,0.5475861559192435,0.8192869956700687,0.1989475396788123,0.8568503024577332,0.3516526394320879,0.7546476915298572,0.2959617068796787,0.8839364795611863,0.3255116378322488,0.16501589771914849,0.3925292439465873,0.0934603745586503,0.8211056578369285,0.15115201964256386,0.3841144486921996,0.9442607122388011,0.9876254749018722,0.4563045470947841,0.8261228438427398,0.25137413420705934,-5.985051251712507
0.5973716482308843,0.9028317603316274,0.5345579488018151,0.5902013629854229,0.03928176722538734,0.3571817586345363,0.07961309015596418,0.30545991834281827,0.330719311982132,0.7738302962105958,0.039959208689977266,0.42949217843163834,0.3149268718426883,0.6364911430675446,0.34634715008003303,0.04309735620499444,0.879915174517916,0.763240587143681,0.8780966427248583,0.41750914383926696,0.6055775643937568,0.5134666274082884,0.5978366479629736,0.2622156611319503,0.30087130894070724,0.025399782050106068,0.30306256065103476,0.24207587540352737,0.5575781886626442,0.5655070198881675,-1.7697494570030874
0.47513224741505056,0.2927979762895091,0.06425106069482445,0.9788191457576426,0.33970784363786366,0.4950486308824543,0.9770807259226818,0.4407738249006665,0.3182728054789512,0.5197969858753801,0.5781364298824675,0.8539337505004864,0.06809727353795003,0.46453080777933253,0.7819491186191484,0.7186028103822503,0.5860219800531759,0.037094413234407875,0.350656391283133,0.563190684492745,0.29972987242456284,0.5123341532735493,0.6734669252847205,0.1591937333780935,0.05047767015399762,0.33781588706467947,0.10806377277945256,0.17890280857109042,0.8858270961677057,0.3653649712141158,1.6390758393756168
0.21876934917953672,0.7524961702186028,0.10687958439356915,0.7446032407755606,0.46978529344049447,0.5982556712791092,0.14762019228529766,0.18403482209315125,0.6450721264682419,0.048628006263405577,0.24861250780276944,0.5424085162280042,0.2267733432700092,0.3814115349046321,0.9222327869035463,0.9253568728677768,0.566749924575,0.5334708849890026,0.014860024633228108,0.977899263402005,0.5730289040331858,0.791756996276624,0.5615573602763689,0.8773352415649347,0.5841958285306755,0.7088498263689552,0.14853345135645857,0.4284507389678964,0.6938900663424117,0.10461974452285316,-6.709847121744476
0.4396052377745905,0.16620214770453368,0.5069786292640474,0.8190358641362125,0.09010673472443853,0.8000687506941452,0.5651263539578045,0.5893477116806074,0.1981006572162689,0.4361182553388343,0.29590376222083736,0.03755767594167769,0.030684840372946276,0.45310500020123345,0.7448640769500677,0.557295406236397,0.3851135995654865,0.1680727975326186,0.8382613207036929,0.5990517974614926,0.7827148182449711,0.8485091818947146,0.6031629758620348,0.7810606172902821,0.6157368760335693,0.021165191172154985,0.750464610487491,0.1760421332836939,0.458514206237273,0.5131227077322451,-1.7280172964449725
0.4840208902868258,0.8443857945393476,0.1748138948221194,0.0146348751032499,0.8487640718112321,0.7426745772994341,0.4566975353201722,0.41689840704937775,0.11672951094696327,0.3386791329893397,0.09465904074365306,0.7158308727513142,0.07708540441603862,0.20595025836897252,0.5737762314512022,0.293831555203768,0.6557267427145982,0.8035683477432196,0.35121350299640874,0.09344037694376706,0.8133160836708041,0.7848667182769469,0.3934191124365154,0.8644791938019533,0.38403076811573245,0.2573028872050038,0.8294019198272359,0.7363827038385634,0.5076009080549594,0.644326615041417,0.004841932037875862
0.2131865653786481,0.8957089487035581,0.9659462515078151,0.31700156230578813,0.8655526182272831,0.310283706940119,0.025263945431817092,0.049195157773728626,0.1846268380142655,0.06903334161725405,0.2574754234045431,0.9135817315706746,0.4578495119744105,0.13021178947959489,0.8098916654001787,0.40346984048066603,0.02443264498316411,0.8568310426277526,0.2742948190153962,0.7091059640719906,0.3557723428236633,0.7943090618265342,0.8446188611438505,0.5381475171399585,0.5590865164032583,0.12250998143741987,0.37764191857408025,0.4287473291290427,0.5112086462854654,0.8917625699356942,-0.7378760228902363
0.3002106115940131,0.3964418788784505,0.7932732330276141,0.41227607735340066,0.18486754999091237,0.8402473160883905,0.5692713997012885,0.060050205550819635,0.9889169741962012,0.22878233320196528,0.6147017129801696,0.3680266808354594,0.8027759363482464,0.6275618527056289,0.8212164761982603,0.28825313879221637,0.2747951315927687,0.60105189113251,0.9385141972093375,0.7072963093414373,0.26340316495675753,0.12233592111500502,0.45872422918986366,0.9748124993966691,0.6805743744444447,0.19325373228646103,0.046739227161395,0.9526439367706239,0.8586490154684265,0.8279031757485712,-1.636451657164018
0.9639005228382829,0.5989364490726748,0.9309158358477515,0.1467688142787268,0.11396030875469221,0.37202890217383444,0.7665601265709068,0.32114203146495945,0.6380350813446267,0.009221101669878884,0.543465038474916,0.33775464688518353,0.8980243088495153,0.9407070384832232,0.3841218491535694,0.39611779234059696,0.897279944819348,0.058822368101847045,0.40537928842956905,0.1301755406309124,0.08696940892461757,0.7839642869589878,0.3045733553466201,0.584055872555269,0.8784661784266631,0.8807920606135405,0.6009542072456764,0.6452277456840332,0.05662820283810621,0.2974840969759218,1.0950828367314618
0.6917746075764666,0.18902945285563533,0.8030075367168978,0.5147637498567128,0.7572860403156148,0.17778874861709792,0.08262029129549275,0.4820719697228585,0.5288538793621261,0.696308271808997,0.20476161403019622,0.6713723299573634,0.7932693253264206,0.04173781251696107,0.9633575057214909,0.9753927171733328,0.5506607842218151,0.06490698240660964,0.34523678986185746,0.02042996881149528,0.800851809783616,0.20792709813215138,0.14325251090518198,0.6998939845292528,0.05794980601005473,0.25660756684899655,0.510331784548845,0.995258784820256,0.14651567931680165,0.4495147775986764,-4.354001043331094
0.6014403761828062,0.09727249413988015,0.28873488054197527,0.7207999019074071,0.5508060640409488,0.8385770150538873,0.5803313514679765,0.1845717366096261,0.6155021170585407,0.8869550884686104,0.5167892778204419,0.6261436691264234,0.5050591175564612,0.9096625765865544,0.4133046555645703,0.535468716291723,0.3426431255645266,0.1295767771432601,0.6628217513999888,0.9356700019956495,0.612729181929054,0.8427384994497643,0.21790843620284273,0.9031717397299215,0.009769977119685747,0.22581272666343477,0.13205512727198687,0.907542946516051,0.910230636659763,0.5810579071349049,-0.04185908159804841
0.08749305252390538,0.11687943957439817,0.7710712553078545,0.732795268796522,0.0871283569325122,0.3574631981198847,0.7732116217522615,0.13147160161175608,0.5378324338539741,0.7547235662269491,0.27252617599113516,0.5665169959073283,0.47668497071666194,0.5566206925418394,0.4407370574138011,0.6937373642619117,0.7182371803196472,0.7563823578955985,0.037322009011339086,0.6788353968929813,0.4772208009079344,0.10017138767093214,0.6141962337146903,0.8379145089661961,0.7338940376588334,0.32156558271190727,0.06785531108690035,0.03733023706427252,0.5591253039604821,0.16085269926854784,-0.3219738039866453
